id,priority_date,cite_number
CN-109417465-B,23/02/2016,
CN-108885675-B,15/01/2016,
CN-110069345-B,23/04/2019,
CN-110537346-B,06/03/2017,
CN-111835528-B,16/07/2020,
CN-108306887-B,05/02/2018,
CN-110178338-B,24/08/2016,
CN-108683539-B,21/05/2018,
CN-108389118-B,14/02/2018,
CN-110445619-B,30/03/2017,
CN-109462836-B,09/11/2018,
CN-106878071-B,25/01/2017,
CN-107295002-B,12/07/2017,
CN-109155730-B,20/06/2016,
CN-108009646-B,30/11/2017,
CN-109074462-B,13/05/2016,
CN-109074434-B,13/05/2016,
CN-107332876-B,31/05/2017,
CN-109804401-B,29/11/2016,
CN-107171806-B,18/05/2017,
CN-110866825-B,28/08/2018,
CN-110471795-B,31/07/2019,
CN-108765240-B,16/07/2018,
CN-110601853-B,17/09/2019,
CN-109871279-B,11/03/2019,
CN-110471953-B,07/12/2018,
CN-110471952-B,07/12/2018,
CN-110349056-B,03/06/2019,
CN-108235806-B,28/12/2017,
CN-108259594-B,11/01/2018,
CN-107993149-B,18/12/2017,
CN-108323200-B,25/01/2018,
CN-108009441-B,23/11/2017,
CN-109451467-B,22/10/2018,
CN-110300974-B,23/03/2017,
CN-108282474-B,18/01/2018,
CN-110472428-B,06/07/2018,
CN-110603783-B,05/05/2017,
CN-108235772-B,29/12/2017,
CN-108765158-B,31/05/2018,
CN-110493325-B,31/07/2019,
CN-108055138-B,01/02/2018,
CN-109936569-B,21/02/2019,
CN-111066286-B,27/03/2019,
CN-108415784-B,27/02/2018,
CN-113329031-B,10/10/2019,
CN-110400136-B,27/04/2018,
CN-108681853-B,11/05/2018,
CN-111180061-B,09/12/2019,
CN-110677252-B,02/07/2018,
CN-108616534-B,28/04/2018,
CN-110351133-B,28/06/2019,
CN-111787072-B,03/04/2018,
CN-108848119-B,03/04/2018,
CN-108737430-B,25/05/2018,
CN-111149332-B,28/04/2017,
CN-108512935-B,16/04/2018,
CN-108804879-B,03/05/2017,
CN-109035012-B,11/06/2018,
CN-109003078-B,27/06/2018,
CN-106911470-B,23/01/2017,
CN-108389129-B,27/02/2018,
CN-110033368-B,30/11/2018,
CN-110915183-B,26/07/2017,
CN-109583885-B,01/09/2017,
CN-113438289-B,08/07/2020,
CN-108681898-B,15/05/2018,
CN-108647361-B,21/05/2018,
CN-109427012-B,22/08/2017,
CN-110169015-B,13/12/2018,
CN-111556836-B,22/06/2018,
CN-110602096-B,12/09/2019,
CN-110380858-B,13/04/2018,
CN-109871669-B,14/03/2019,
CN-110781521-B,06/12/2018,
CN-107341402-B,19/06/2017,
CN-106534160-B,02/12/2016,
CN-108292331-B,22/12/2015,
CN-109936626-B,19/02/2019,
CN-111625413-A,23/04/2020,
CN-110162992-B,31/05/2019,
CN-110599069-B,29/09/2019,
CN-110519260-B,23/08/2019,
CN-108768614-B,03/05/2018,
CN-108650328-B,22/05/2018,
CN-111695033-B,29/04/2020,
CN-111400401-B,12/03/2020,
CN-110634069-B,25/06/2018,
CN-111859960-B,27/07/2020,
CN-114514732-B,25/09/2019,
CN-112214545-A,21/09/2020,
CN-108711051-B,03/05/2018,
CN-109598504-B,25/10/2018,
CN-109035014-B,26/06/2018,
CN-109493221-B,26/10/2018,
CN-109481936-B,26/10/2018,
CN-108665359-B,29/03/2017,
CN-106875254-B,20/01/2017,
CN-109583857-B,11/12/2018,
CN-107730254-B,12/08/2016,
CN-109933995-B,31/01/2019,
CN-107784546-B,31/08/2016,
CN-110445612-B,02/05/2018,
CN-110535938-B,29/08/2019,
CN-111026511-B,20/11/2019,
CN-111241114-B,07/01/2020,
CN-111444279-B,03/04/2020,
CN-111539813-B,10/07/2020,
CN-111814198-B,11/09/2020,
CN-109784930-B,18/02/2019,
CN-110175912-B,08/04/2019,
CN-108921692-B,16/05/2017,
CN-108876364-B,16/05/2017,
CN-107483181-B,28/08/2017,
CN-110177108-B,02/06/2019,
CN-107851253-B,13/07/2015,
CN-107464112-B,20/07/2017,
CN-110555296-B,01/08/2019,
CN-108648084-B,18/05/2018,
CN-112437141-B,12/06/2020,
CN-111767410-B,30/06/2020,
CN-107846278-B,30/10/2017,
CN-108270836-B,03/01/2017,
CN-107562513-B,18/07/2017,
CN-107103471-B,28/03/2017,
CN-110383752-B,10/03/2017,
CN-109658238-B,26/10/2018,
CN-108256999-B,19/01/2018,
CN-110599261-B,21/09/2019,
CN-109033832-B,22/06/2018,
CN-109040029-B,13/07/2018,
CN-112837048-B,03/02/2020,
CN-109218079-B,16/08/2018,
CN-108074177-B,05/12/2017,
CN-106897906-B,28/02/2017,
CN-111782472-B,30/06/2020,
CN-109523341-B,12/10/2018,
CN-109558748-B,23/11/2018,
CN-108352016-B,08/07/2015,
CN-109921909-B,15/02/2019,
CN-107423973-B,04/08/2017,
CN-110059494-B,17/04/2019,
CN-110365686-B,08/02/2017,
CN-110351285-B,08/02/2017,
CN-107979585-B,08/02/2017,
CN-110175913-B,12/04/2019,
CN-108595709-B,10/05/2018,
CN-107358417-B,23/06/2017,
CN-107248994-B,26/06/2017,
CN-110442652-B,15/08/2019,
CN-107330788-B,15/06/2017,
CN-105691543-B,15/12/2014,
CN-109583184-B,09/10/2018,
CN-109981750-B,06/03/2019,
CN-108646983-B,08/05/2018,
CN-108701136-B,28/03/2016,
CN-110147993-B,05/05/2019,
CN-109087090-B,14/06/2017,
CN-108985818-B,15/06/2018,
CN-110620810-B,20/06/2018,
CN-108898475-B,08/05/2018,
CN-107851246-B,21/05/2015,
CN-107809484-B,30/10/2017,
CN-108900464-B,26/04/2018,
CN-108292401-B,08/07/2015,
CN-110032883-B,31/01/2019,
CN-106796524-B,27/12/2016,
CN-108200203-B,06/02/2018,
CN-109151013-B,13/08/2018,
CN-109074580-B,23/02/2016,
CN-108964924-B,24/07/2018,
CN-109886677-B,29/12/2018,
CN-109479004-B,29/07/2016,
CN-110443658-B,07/12/2018,
CN-109889326-B,19/02/2019,
CN-107545419-B,19/07/2017,
CN-108805656-B,22/05/2018,
CN-112438006-B,01/08/2018,
CN-108846010-B,28/04/2018,
CN-110472116-B,28/04/2018,
CN-108885760-B,22/02/2016,
CN-108650182-B,20/04/2018,
CN-108170740-B,18/12/2017,
CN-110163600-B,14/02/2018,
CN-107888384-B,30/11/2017,
CN-110800258-B,18/03/2019,
CN-109191144-B,03/08/2018,
