id,priority_date,cite_number,assignee
GB-2594272-A,21/04/2020,,Nchain Holdings Ltd
GB-2595216-A,15/05/2020,,Nchain Holdings Ltd
GB-2486818-A,30/11/2010,,Zoo Digital Ltd
GB-2597703-A,30/07/2020,,Nchain Holdings Ltd
GB-2597955-A,11/08/2020,,Nchain Holdings Ltd
GB-2598945-A,21/09/2020,,Nchain Holdings Ltd
GB-2573839-A,18/05/2018,,Imagenpay Uk Ltd
GB-2600606-A,23/07/2019,,Motional Ad Llc
GB-2568453-A,14/09/2017,,Blockpass Idn Ltd
GB-2561935-A,24/11/2017,,Zeetta Networks Ltd
GB-2612267-A,24/07/2020,,Ibm
GB-2604561-A,27/11/2019,,"Ibm, Gtd Solution Inc"
GB-2583766-A,10/05/2019,,Nchain Holdings Ltd
GB-2588002-A,10/05/2018,,Nxm Labs Canada Inc
GB-2598112-A,18/08/2020,,Nchain Holdings Ltd
GB-2597539-A,28/07/2020,,Nchain Holdings Ltd
GB-2589636-A,06/12/2019,,Nchain Holdings Ltd
GB-2582978-A8,12/04/2019,,Nchain Holdings Ltd
GB-2549075-A,24/03/2016,,Mount Watatic Ltd
GB-2581315-A,30/10/2018,,Barclays Execution Services Ltd
GB-2577118-A,14/09/2018,,Arqit Ltd
GB-2575704-A,27/03/2018,,Lenovo Singapore Pte Ltd
GB-2579635-A,07/12/2018,,Dragon Infosec Ltd
GB-2582978-A,12/04/2019,,Nchain Holdings Ltd
GB-2593421-A,24/10/2019,,Nchain Holdings Ltd
GB-2564389-A,04/07/2017,,Green Running Ltd
GB-2572392-A,28/03/2018,,"Sony Corp, Sony Europe Ltd"
GB-2589578-A,02/12/2019,,Sage Global Services Ltd
GB-2589348-A,27/11/2019,,Nchain Holdings Ltd
GB-2601384-A,30/11/2020,,Motional Ad Llc
GB-2588138-A,09/10/2019,,Nchain Holdings Ltd
GB-2578487-A,25/10/2018,,Inst Information Ind
GB-2581935-A,27/11/2017,,Ibm
GB-2592222-A,19/02/2020,,Nchain Holdings Ltd
GB-2600294-A,23/08/2019,,Landmark Graphics Corp
GB-2587028-A,16/09/2019,,Nchain Holdings Ltd
GB-2607026-A,23/05/2021,,"Elmon Jacob, Elmon Brandon"
GB-2595488-A,28/05/2020,,Nchain Holdings Ltd
GB-2600293-A,23/08/2019,,Landmark Graphics Corp
GB-2589147-A,25/11/2019,,Nchain Holdings Ltd
GB-2535237-A,11/02/2015,2,Mollah Stephen
GB-2606195-A,29/04/2021,2,Nchain Licensing Ag
GB-2607519-A,20/01/2020,2,Ibm
