id,priority_date,cite_number
KR-102094721-B1,04/05/2018,
KR-102194077-B1,26/04/2019,
KR-102137956-B1,19/11/2013,
KR-101816653-B1,14/02/2017,
KR-20210068031-A,06/09/2018,
KR-102026225-B1,19/01/2017,
KR-20210003132-A,27/04/2018,
KR-20210003214-A,27/04/2018,
KR-102469024-B1,24/07/2018,
KR-20210024994-A,30/03/2018,
KR-102440626-B1,24/07/2018,
KR-102044751-B1,30/07/2019,
KR-102044747-B1,30/07/2019,
KR-102044748-B1,30/07/2019,
KR-102193549-B1,07/11/2018,
KR-102377347-B1,14/07/2017,
KR-20210024992-A,28/03/2018,
KR-102274294-B1,29/03/2019,
KR-102262713-B1,29/03/2017,
KR-102208891-B1,07/11/2018,
KR-102201844-B1,26/01/2017,
KR-101881045-B1,15/11/2017,
KR-102204256-B1,22/05/2017,
KR-102141772-B1,24/02/2017,
KR-102385775-B1,20/09/2016,
KR-102566194-B1,15/10/2019,
KR-102364877-B1,19/08/2019,
KR-102431291-B1,29/04/2016,
KR-20200136481-A,24/07/2018,
KR-102226258-B1,29/12/2018,
KR-101548448-B1,03/06/2011,
KR-102562558-B1,26/04/2019,
KR-102151903-B1,29/12/2018,
KR-102032924-B1,28/11/2016,
KR-102103894-B1,25/04/2017,
KR-102170345-B1,18/03/2019,
KR-102472538-B1,25/10/2017,
KR-102243754-B1,21/03/2019,
KR-101816650-B1,21/02/2017,
KR-102050129-B1,03/05/2016,
KR-102098548-B1,26/12/2016,
KR-102151904-B1,26/03/2019,
KR-102161114-B1,03/05/2018,
KR-102151894-B1,07/11/2018,
KR-102561726-B1,19/04/2018,
KR-102289612-B1,12/04/2019,
KR-102415210-B1,09/11/2018,
KR-102297592-B1,30/01/2019,
KR-102025409-B1,31/07/2017,
KR-20200083534-A,17/05/2018,
KR-20200074996-A,03/04/2018,
KR-20200087578-A,11/01/2019,
KR-20180004049-A,22/12/2017,
KR-20210072127-A,05/12/2018,
KR-20200089749-A,29/06/2018,
KR-102322511-B1,19/07/2021,
KR-20200139780-A,16/05/2018,
KR-102360207-B1,24/09/2019,
KR-20200116013-A,29/03/2019,
KR-20200095540-A,20/09/2018,
KR-20200140897-A,07/09/2018,
KR-102040170-B1,26/12/2017,
KR-20200116014-A,29/03/2019,
KR-20200078556-A,14/02/2018,
KR-20200074910-A,13/12/2018,
KR-20190101869-A,23/02/2018,
KR-102255722-B1,29/05/2018,
KR-20200083938-A,28/12/2018,
KR-20190128590-A,08/05/2018,
KR-20210024993-A,30/03/2018,
KR-20200083548-A,14/02/2018,
KR-20200081441-A,14/02/2018,
KR-20200096790-A,15/12/2017,34.0
KR-20190099054-A,26/07/2017,57.0
KR-20190099310-A,26/07/2017,45.0
KR-20200059184-A,16/11/2018,33.0
KR-102467625-B1,05/07/2016,12.0
KR-102225973-B1,30/11/2018,11.0
KR-20200083932-A,29/12/2018,31.0
KR-20190127676-A,19/06/2017,118.0
KR-20190104138-A,07/06/2017,113.0
KR-20200086381-A,31/05/2017,84.0
KR-20190136053-A,25/05/2017,65.0
KR-20200079218-A,21/12/2018,30.0
KR-20190019004-A,16/08/2017,40.0
KR-20190111037-A,23/08/2017,36.0
KR-20210050526-A,10/08/2018,21.0
KR-20200067116-A,30/11/2018,29.0
KR-20190094188-A,28/03/2017,99.0
KR-20190093598-A,28/03/2017,51.0
KR-20190118630-A,24/03/2017,117.0
KR-20200094061-A,29/01/2019,4.0
KR-20190138645-A,07/04/2017,42.0
KR-20190115066-A,29/03/2017,44.0
KR-20210059589-A,15/11/2019,20.0
KR-20200013679-A,26/05/2017,34.0
KR-20200013680-A,26/05/2017,34.0
KR-20200016238-A,26/05/2017,34.0
KR-20190115475-A,22/02/2017,86.0
KR-20190099087-A,28/02/2017,51.0
KR-20200008044-A,17/02/2017,96.0
KR-20190099335-A,17/02/2017,96.0
KR-20200060723-A,09/10/2017,29.0
KR-20210157917-A,09/10/2017,29.0
KR-20190107664-A,31/07/2017,30.0
KR-20210092802-A,27/11/2018,20.0
KR-20210096178-A,27/11/2018,20.0
KR-20210096176-A,27/11/2018,20.0
KR-20210096179-A,27/11/2018,20.0
KR-20210095915-A,27/11/2018,20.0
KR-20210092817-A,27/11/2018,20.0
KR-20210094606-A,27/11/2018,20.0
KR-20210092825-A,27/11/2018,20.0
KR-20190104200-A,08/01/2017,55.0
KR-20200080288-A,19/01/2018,21.0
KR-20200086284-A,09/11/2017,27.0
KR-20200086282-A,09/11/2017,27.0
KR-20200080265-A,09/11/2017,27.0
KR-20190119581-A,30/12/2016,71.0
KR-20190075080-A,01/08/2017,29.0
KR-20200059185-A,16/11/2018,26.0
KR-102525244-B1,21/12/2016,11.0
KR-102481934-B1,21/12/2016,11.0
KR-102504033-B1,21/12/2016,11.0
KR-20200011435-A,22/05/2017,27.0
KR-20200010287-A,22/05/2017,27.0
KR-20200010289-A,22/05/2017,27.0
