filingDate,patentNumber
06/05/2013,20130297614
24/03/2011,8577934
01/06/2011,8577823
29/04/2013,20130291119
30/09/2010,8572559
15/03/2013,20130282580
12/04/2006,8565424
11/04/2013,20130275317
04/06/2013,20130268585
16/05/2013,20130266292
23/10/2007,8554903
29/09/2006,8554827
31/03/2012,20130262505
29/01/2010,8548919
27/03/2008,8543827
31/10/2011,8543605
20/12/2007,8543419
23/03/2012,8543466
30/11/2011,20130246119
13/05/2013,20130246233
09/05/2007,8539238
16/10/2009,8538027
10/09/2010,8522318
14/12/2011,8521781
23/05/2003,8510676
01/02/2013,20130204689
15/03/2013,20130204733
25/07/2011,8504586
06/04/2011,8504425
08/03/2011,20130198863
29/04/2010,20130198158
07/09/2012,20130198234
12/01/2012,20130182842
06/02/2012,20130183023
29/07/2005,8489509
07/01/2013,20130179555
09/01/2012,20130179337
31/01/2011,8484087
25/06/2009,8484617
30/12/2011,20130173796
13/06/2012,8479246
07/04/2004,8478645
30/09/2011,8478653
23/12/2011,20130166455
07/07/2009,8473429
09/09/2012,20130159732
10/08/2007,8465926
16/07/2012,8468139
10/12/2012,20130151534
09/12/2011,20130151583
26/07/2012,8463726
01/12/2011,20130142323
02/12/2011,20130145266
14/08/2012,8458755
07/05/2008,8457317
07/06/2012,8457672
21/05/2012,20130137073
01/03/2007,8452961
16/09/2010,8453176
12/12/2011,20130120422
02/01/2013,20130124156
15/11/2011,20130124356
31/10/2012,20130124980
22/06/2009,8442189
08/11/2012,20130117156
24/06/2010,8438174
26/10/2012,20130111610
17/11/2005,8429131
07/09/2010,8427006
12/03/2010,8429751
19/10/2009,8429559
02/02/2010,8429641
15/11/2011,20130095864
17/04/2008,8422945
29/11/2012,20130091252
28/01/2010,20130088517
31/07/2006,20130091534
07/10/2011,20130091574
29/09/2011,20130086519
05/05/2007,8412949
20/04/2011,20130079903
21/09/2012,20130080244
15/09/2012,20130073565
15/09/2012,20130073613
21/09/2011,20130073410
15/11/2011,20130073411
17/05/2012,20130073413
13/09/2011,20130065669
13/09/2011,20130065670
07/09/2012,20130066717
31/08/2012,20130057549
28/02/2012,20130061135
06/09/2012,20130061335
19/04/2011,8393006
04/11/2008,8391617
23/02/2012,20130054399
25/08/2011,20130054656
26/08/2011,20130054688
26/08/2011,20130054736
26/08/2011,20130054780
02/07/2010,8386525
13/04/2010,8380577
11/08/2012,20130041773
06/10/2012,20130027552
12/04/2010,8364561
21/07/2011,20130024729
14/09/2012,20130013784
08/11/2008,8352443
04/09/2012,20130007898
30/06/2011,20130006868
28/06/2011,20130007667
09/12/2008,RE43906
23/06/2014,20140379531
21/11/2011,8918839
12/06/2013,20140372188
04/02/2011,8914408
06/06/2014,20140365426
30/11/2007,8909924
31/05/2013,20140357379
15/11/2011,8897820
20/05/2014,20140344015
17/05/2013,20140344170
06/06/2013,8892482
11/12/2012,20140328569
01/05/2013,20140330934
26/06/2012,8879837
10/12/2008,8875183
05/04/2011,8874951
18/04/2014,20140317004
11/04/2014,20140316937
22/04/2014,20140316965
17/04/2013,20140317057
16/06/2011,8868506
26/06/2014,20140310746
12/04/2013,20140310241
13/08/2012,20140310243
13/09/2011,8862583
21/02/2012,8857716
10/01/2012,20140304772
07/04/2004,8856030
24/06/2011,8856532
28/04/2011,8856121
11/06/2012,20140297735
15/01/2008,8849862
02/05/2012,8850424
06/07/2010,20140289263
28/06/2013,8843519
02/03/2012,8843637
24/07/2012,8843401
30/09/2011,8842179
17/03/2014,20140263627
20/07/2013,20140279257
14/03/2014,20140279542
28/08/2013,20140279526
14/03/2014,20140279540
06/03/2014,20140279770
14/03/2013,20140279950
08/03/2013,8838993
27/03/2012,20140258336
30/01/2009,8832023
25/03/2011,8825841
28/02/2013,20140244800
24/02/2014,20140244399
22/02/2013,20140244574
27/02/2013,20140244631
28/02/2013,20140244801
29/09/2011,8819577
23/05/2011,8813238
30/05/2012,8812464
21/01/2014,20140223338
08/03/2013,20140222661
02/02/2013,20140223480
10/11/2006,8799071
21/08/2006,8800042
31/03/2014,20140212360
31/03/2014,20140213614
29/01/2013,20140214640
21/07/2011,8793535
23/01/2013,20140207902
27/12/2005,8788572
10/01/2014,20140201057
11/01/2013,20140201147
14/01/2013,20140201720
22/08/2013,8782089
17/10/2012,20140195379
10/01/2013,20140195532
21/02/2007,8775320
27/12/2012,20140189819
28/12/2012,20140189799
01/12/2011,8767954
13/12/2013,20140180928
20/12/2012,20140176337
29/03/2012,20140181240
11/04/2013,20140181928
28/04/2009,8762938
17/12/2013,20140173418
17/12/2013,20140172490
14/12/2012,20140172609
18/12/2012,20140172975
16/08/2013,20140164247
14/02/2014,20140160118
12/02/2014,20140164031
13/08/2013,20140164251
11/12/2012,20140165209
03/12/2013,20140156512
30/11/2012,20140156656
13/10/2009,8745068
26/06/2008,8736557
13/11/2013,20140143896
07/10/2011,8732840
13/11/2012,20140136349
02/02/2010,8726002
29/04/2010,8725715
14/01/2014,20140129418
26/07/2013,20140123213
22/10/2012,20140111516
19/10/2012,20140114783
03/12/2012,20140115056
19/10/2012,20140115290
30/05/2003,8707034
16/10/2012,20140108098
17/10/2012,20140108332
15/10/2012,20140108588
15/10/2012,20140108593
17/10/2012,20140108616
17/10/2012,20140108657
17/10/2012,20140108910
25/06/2013,20140101032
05/10/2012,20140101212
25/06/2013,20140101776
18/04/2012,8694476
26/04/2011,8694768
30/09/2012,20140095275
20/02/2013,20140096037
05/12/2013,20140094140
21/09/2012,20140089201
07/09/2006,8682795
17/09/2013,20140081710
30/05/2013,20140082001
01/08/2008,8677278
23/09/2013,20140075206
05/07/2013,20140074660
09/09/2013,20140072185
12/03/2013,20140075518
28/08/2013,20140068413
15/11/2012,20140066209
05/09/2013,20140068687
29/11/2012,8666933
30/10/2013,20140058877
22/08/2013,20140058873
27/08/2012,20140059065
27/08/2012,20140059236
10/11/2008,8659427
28/03/2012,8655885
27/12/2011,20140045464
08/08/2013,20140047072
13/08/2013,20140047386
30/08/2007,8650128
14/01/2011,8650226
04/10/2013,20140041028
05/10/2009,20140040222
03/08/2012,20140040262
18/06/2013,20140040286
12/04/2012,8646042
27/09/2013,20140032424
20/09/2005,20140033008
30/07/2013,20140033310
12/01/2012,8638935
15/07/2013,20140025591
23/09/2013,20140026155
20/04/2012,8635220
09/12/2011,8635264
12/06/2013,20140019584
14/07/2012,20140020071
10/07/2012,20140020105
26/02/2007,8631088
19/07/2011,8630411
30/08/2013,20140013384
13/09/2013,20140013113
03/02/2012,20140012723
05/07/2012,20140012797
04/09/2012,8626838
17/10/2007,8626756
09/03/2009,8624898
12/05/2011,8627485
30/06/2014,20150379025
13/09/2015,20150379510
03/09/2015,20150379590
18/05/2015,20150381580
26/06/2015,20150381743
18/06/2015,20150370878
18/06/2015,20150370467
18/06/2014,20150370869
19/06/2015,20150371085
18/06/2015,20150371173
24/06/2015,20150371224
24/06/2015,20150373048
18/06/2014,20150373064
18/06/2014,20150370870
06/03/2015,9219824
13/01/2014,20150363820
12/06/2015,20150363370
16/06/2014,20150363769
16/06/2014,20150363770
16/06/2014,20150363772
16/06/2014,20150363773
16/06/2014,20150363777
16/06/2014,20150363778
16/06/2014,20150363782
16/06/2014,20150363783
16/06/2014,20150363876
18/08/2015,20150364009
16/06/2014,20150365283
19/08/2015,20150356673
15/09/2014,20150352885
04/06/2014,20150356555
10/06/2014,20150356111
26/08/2014,20150356105
07/06/2014,20150356523
22/05/2015,20150356524
31/01/2008,9208242
26/08/2011,9208158
13/08/2015,20150350711
26/05/2015,20150348169
27/05/2014,20150347447
03/06/2014,20150348017
08/06/2012,9201895
26/02/2015,20150339401
02/01/2014,20150339853
20/05/2014,9195437
17/05/2012,9196089
27/12/2006,9195996
06/05/2015,20150331858
13/05/2015,20150332283
15/05/2015,20150332224
14/05/2015,20150332256
30/10/2014,20150332395
06/05/2015,20150324764
20/04/2015,20150324787
06/05/2015,20150324789
12/05/2014,20150326548
31/08/2012,9183582
10/03/2015,20150317882
21/12/2010,9177321
21/11/2013,20150309971
26/04/2014,20150310424
24/04/2015,20150310476
31/01/2015,20150310497
29/11/2013,20150310505
18/03/2014,20150312233
14/07/2014,9171005
04/12/2013,20150297742
17/04/2015,20150302357
18/04/2014,20150302400
18/04/2014,20150302401
13/04/2015,20150302698
13/09/2013,9165152
08/09/2014,9164973
27/10/2011,9165155
03/08/2012,9165068
29/03/2012,9165307
24/06/2015,20150294424
14/04/2014,20150294308
31/10/2014,20150293669
14/04/2015,20150294425
08/04/2015,20150296229
13/04/2012,9156814
18/04/2014,20150287026
04/04/2014,20150287078
19/07/2012,20150280434
18/06/2014,20150278323
19/05/2015,20150269366
05/06/2015,20150269547
20/03/2014,20150269357
20/03/2014,20150269763
20/03/2014,20150269765
20/03/2014,20150269849
20/03/2014,20150269855
20/03/2014,20150269870
18/11/2005,9141825
03/06/2013,9143485
12/03/2014,20150261939
12/03/2015,20150261269
17/03/2015,20150262176
17/03/2014,20150262173
13/03/2014,9134962
04/04/2014,9135787
05/03/2015,20150254640
18/03/2014,9129120
16/09/2014,20150249872
20/02/2015,20150242881
24/02/2014,20150242814
11/05/2015,20150243324
27/03/2015,20150244690
22/07/2013,9118481
27/12/2012,9118675
27/04/2015,20150234568
16/05/2013,9113130
10/02/2014,20150228039
06/02/2015,20150227883
11/02/2014,20150227897
21/07/2010,9104670
05/02/2014,20150220620
05/02/2015,20150220881
13/03/2014,20150220928
29/01/2010,9100396
05/10/2009,9098758
30/01/2015,20150209678
29/01/2015,20150213026
26/01/2015,20150213435
27/06/2011,9092539
13/01/2015,20150206106
16/01/2015,20150207786
11/01/2013,9087341
14/01/2014,20150199613
25/03/2015,20150199835
31/05/2013,9079108
15/11/2011,9076181
11/03/2015,20150189024
18/12/2014,20150178693
06/06/2012,9064097
15/12/2014,20150164192
04/10/2014,20150170112
17/12/2014,20150170232
16/09/2008,9058388
20/10/2014,20150161750
03/08/2012,20150163309
22/12/2014,20150154576
03/02/2014,9049188
14/01/2013,9047448
26/11/2014,20150149338
29/09/2011,9043387
16/11/2014,20150142486
18/11/2014,20150142603
30/06/2006,9038108
27/11/2012,9037140
09/11/2013,20150134547
06/02/2012,9031383
03/11/2014,20150128047
01/11/2013,20150127348
15/01/2014,20150127495
17/03/2014,9022286
05/01/2015,20150120744
22/05/2014,20150120567
04/02/2014,20150120569
06/01/2014,9021600
05/09/2013,9021536
17/10/2014,20150112883
22/10/2013,20150112766
14/11/2014,20150106845
24/11/2014,20150106458
26/10/2012,9009857
11/04/2013,9009803
31/01/2014,20150101021
03/07/2014,20150100578
21/12/2010,9003015
20/02/2013,9003293
10/12/2014,20150095942
30/09/2013,20150096019
14/02/2007,8996589
30/03/2012,20150089645
28/01/2014,20150088733
29/03/2010,8990156
30/11/2012,8990188
18/11/2014,20150081635
15/09/2014,20150081567
28/10/2014,20150074389
25/01/2011,8977584
27/06/2011,8975025
27/10/2011,8972282
06/10/2014,20150058347
16/08/2013,20150052066
15/03/2014,20150049163
13/08/2013,20150050987
11/08/2014,20150051994
27/03/2012,8959113
21/12/2012,20150046248
28/04/2014,20150046337
29/07/2014,20150046372
09/08/2013,20150046407
14/10/2014,20150046985
23/12/2013,8954406
13/06/2005,8953908
09/09/2012,8954758
09/03/2011,20150040224
31/07/2013,20150039320
04/04/2013,8949916
05/07/2013,8949145
26/08/2011,8949465
14/06/2012,8949401
31/07/2014,20150026480
16/07/2014,20150024852
17/07/2014,20150026031
30/09/2014,20150019591
08/07/2014,20150019614
17/06/2009,8934832
08/09/2009,8935217
14/07/2014,20150012821
17/06/2014,20150012473
04/10/2013,8931095
03/07/2014,20150007017
17/09/2014,20150007166
18/09/2014,20150006739
27/06/2014,20150007256
25/06/2015,20160380976
26/06/2015,20160379212
