id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2587028-A,Cryptographically linked identities ,Nchain Holdings Ltd,"G Doiron Brock, Steven Wright Craig",16/09/2019,16/09/2019,17/03/2021,,https://patents.google.com/patent/GB2587028A/en,
GB-2607026-A,A smart contract based blockchain application using non-fungible token for authorized asset sharing ,"Elmon Jacob, Elmon Brandon","Elmon Jacob, Elmon Brandon",23/05/2021,23/05/2021,30/11/2022,,https://patents.google.com/patent/GB2607026A/en,
GB-2595488-A,Filtering blockchain transactions ,Nchain Holdings Ltd,"Pagani Alessio, Steven Wright Craig",28/05/2020,28/05/2020,01/12/2021,,https://patents.google.com/patent/GB2595488A/en,
GB-2600293-A,"AI/ML, distributed computing, and blockchained based reservoir management platform ",Landmark Graphics Corp,"Prasad Rangarajan Keshava, Vikram R Pandya Raja, Madasu Srinath, Dande Shashi",23/08/2019,21/08/2020,27/04/2022,,https://patents.google.com/patent/GB2600293A/en,
GB-2589147-A,Methods and devices for automated digital certificate verification ,Nchain Holdings Ltd,"Pettit Michaella, Zhang Wei, Vaughan Owen, Steven Wright Craig",25/11/2019,25/11/2019,26/05/2021,,https://patents.google.com/patent/GB2589147A/en,
GB-2535237-A,Bitcoin technology ,Mollah Stephen,Mollah Stephen,11/02/2015,24/02/2015,17/08/2016,,https://patents.google.com/patent/GB2535237A/en,
GB-2606195-A,Methods and devices for enabling single page retrieval of merkle tree data ,Nchain Licensing Ag,"Patrick Coughlan Steven, Zhang Wei",29/04/2021,29/04/2021,02/11/2022,,https://patents.google.com/patent/GB2606195A/en,
GB-2607519-A,Conflict-free version control ,Ibm,"Shrinivasan Yedendra, Chaitanya Ratakonda Krishna, Choi Rak-Joon",20/01/2020,14/01/2021,07/12/2022,,https://patents.google.com/patent/GB2607519A/en,
GB-2583832-A8,Blockchain assisted asset pedigree traceback ,Tracelink Inc,"M Dahod Shabbir, Sturim Robert, Madhu Sudan Badri Narayan Vivek, Deus Lucia",08/03/2019,06/03/2020,26/05/2021,,https://patents.google.com/patent/GB2583832A8/en,
GB-2583832-A,Blockchain assisted asset pedigree trackback ,Tracelink Inc,"M Dahod Shabbir, Sturim Robert, Madhu Sudan Badri Narayan Vivek, Deus Lucia",08/03/2019,06/03/2020,11/11/2020,,https://patents.google.com/patent/GB2583832A/en,
GB-2528486-A,Verification method and system for digital currency ,Valasca Ltd,Joshua Daniels,23/07/2014,23/07/2014,27/01/2016,,https://patents.google.com/patent/GB2528486A/en,
GB-2575172-A,System and method for efficient and secure private similarity detection for large private document repositories ,Luther Systems Ltd,"Wood Samuel, Kakavand Hossein",24/05/2018,24/05/2019,01/01/2020,,https://patents.google.com/patent/GB2575172A/en,
GB-2599404-A,Verification system and method ,Nchain Holdings Ltd,"Owen Davies Jack, Steven Wright Craig",30/09/2020,30/09/2020,06/04/2022,,https://patents.google.com/patent/GB2599404A/en,
GB-2609833-A,Contextual integrity preservation ,Ibm,"Gaur Nitin, B Ponceleon Dulce, Katsis Ioannis",06/04/2020,23/03/2021,15/02/2023,,https://patents.google.com/patent/GB2609833A/en,
GB-2612551-A,Validating tracked portions of received sensor data using computer cryptographic processing ,Ibm,"Chakra Ai, Chakra Lama, Frey Bryce, D Freeman Latrell",30/07/2020,15/06/2021,03/05/2023,,https://patents.google.com/patent/GB2612551A/en,
GB-2610165-A,Coordinating peer-to-peer data transfer using blockchain ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig",18/08/2021,18/08/2021,01/03/2023,,https://patents.google.com/patent/GB2610165A/en,
GB-2563742-A,Systems and methods for digital identity management and permission controls within distributed network nodes ,Northern Trust Corp,"Czupek Andrew, Monks Andrew, Stevens Anthony, Das Arijit, Price Christopher, Chapman Justin, Hannaway Wayne, Smith Zabrina",06/02/2017,19/12/2017,26/12/2018,,https://patents.google.com/patent/GB2563742A/en,
GB-2566824-A,Refund system and method ,Global Blue S A,"Michael Ling James, Menzinsky Richard",31/08/2018,31/08/2018,27/03/2019,,https://patents.google.com/patent/GB2566824A/en,
