id,assignee,priority_date,symbol,company
CN-109933404-B,"Alibaba Group Holding Co., Ltd.",12/12/2018,CN,
CN-111226249-A,"Alibaba Group Holding Co., Ltd.",12/08/2019,CN,
CN-111898360-A,"Innovation Advanced Technology Co., Ltd.",26/07/2019,CN,
WO-2020086219-A1,Alibaba Group Holding Limited,26/10/2018,WO,Alibaba Group Holding Limited
CN-111279338-A,"Alibaba Group Holding Co., Ltd.",20/05/2019,CN,
WO-2019141293-A3,Alibaba Group Holding Limited,20/05/2019,WO,Alibaba Group Holding Limited
CN-111898156-A,"Innovation Advanced Technology Co., Ltd.",31/01/2019,CN,
JP-2020528595-A,"Nchain Holdings Limited NCHAIN ??€?OLDINGS Limited, Nuchan Holdings Limited",30/06/2017,JP,nChain Holdings Limited
JP-2020524434-A,"Nchain Holdings Limited NCHAIN ??€?OLDINGS Limited, Nuchan Holdings Limited",20/06/2017,JP,nChain Holdings Limited
WO-2022033252-A1,"Alipay (Hangzhou) Information Technology Co., Ltd.",14/08/2020,WO,Alipay (Hangzhou) Information Technology
CN-110832826-A,"Blockchain Holdings Co., Ltd.",30/06/2017,CN,
WO-2019003083-A1,nChain Holdings Limited,30/06/2017,WO,nChain Holdings Limited
WO-2018234987-A1,nChain Holdings Limited,20/06/2017,WO,nChain Holdings Limited
EP-4068183-A1,nChain Licensing AG,24/07/2017,EP,Nchain Licensing Ag
WO-2020181937-A1,"Alibaba Group Holding Co., Ltd.",08/03/2019,WO,
JP-2023052782-A,"Nchain Licensing Age, NCHAIN ??€?icensing AG",07/07/2017,JP,Nchain Licensing Ag
WO-2020038096-A1,"Alibaba Group Holding Co., Ltd.",21/08/2018,WO,
WO-2019141292-A2,Alibaba Group Holding Limited,20/05/2019,WO,Alibaba Group Holding Limited
WO-2019101226-A2,Alibaba Group Holding Limited,28/02/2019,WO,Alibaba Group Holding Limited
CN-111133734-A,"Alibaba Group Holding Co., Ltd.",12/08/2019,CN,
CA-3044907-A1,"Alibaba Group Holding Limited, Wenbin Zhang, Lichun Li, Baoli MA, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",29/12/2018,CA,Advanced New Technologies Co
AU-2018349940-A1,"Advanced New Technologies Co., Ltd.",29/12/2018,AU,Advanced New Technologies Co
JP-2019526192-A,"Nchain Holdings Limited NCHAIN ??€?OLDINGS Limited, Nuchan Holdings Limited",05/07/2016,JP,nChain Holdings Limited
WO-2019116250-A1,nChain Holdings Limited,15/12/2017,WO,nChain Holdings Limited
WO-2023045533-A1,"Ant Blockchain Technology (Shanghai) Co., Ltd., Alipay (Hangzhou) Information Technology Co., Ltd.",24/09/2021,WO,Alipay (Hangzhou) Information Technology
KR-20200099541-A,Enchain Holdings Limited,15/12/2017,KR,nChain Holdings Limited
JP-2020524320-A,"Alibaba Group Holding Limited ALIBABA GROUP HOLDING Limited, Alibaba Group Holding Limited",26/04/2019,JP,Alibaba Group Holding Limited
KR-20200126322-A,Alibaba Group Holding Limited,26/04/2019,KR,Alibaba Group Holding Limited
WO-2019171269-A1,nChain Holdings Limited,08/03/2018,WO,nChain Holdings Limited
CN-111357026-B,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/02/2020,CN,Alipay (Hangzhou) Information Technology
CN-111226199-B,"Innovation Advanced Technology Co., Ltd.",27/08/2019,CN,
CN-110221919-B,"Innovation Advanced Technology Co., Ltd.",31/05/2019,CN,
CN-110162570-B,"Innovation Advanced Technology Co., Ltd.",17/04/2019,CN,
SG-11201906374X-A,Nchain Holdings Ltd,31/01/2017,SG,
SG-11201906372P-A,Nchain Holdings Ltd,31/01/2017,SG,
CN-110008715-B,"Alibaba Group Holding Co., Ltd.",31/01/2019,CN,
TW-201830271-A,"Antida and Babuda Merchant Blockchain Holdings Co., Ltd.",21/12/2016,TW,
CN-110020544-B,"Innovation Advanced Technology Co., Ltd.",26/12/2018,CN,
JP-2023071977-A,"Nchain Licensing Age, NCHAIN ??€?icensing AG",13/04/2018,JP,Nchain Licensing Ag
CN-110084604-B,"Alibaba Group Holding Co., Ltd.",25/10/2018,CN,
CN-110809763-A,"Alibaba Group Holding Co., Ltd.",20/05/2019,CN,
CN-111066046-A,"Alibaba Group Holding Co., Ltd.",26/04/2019,CN,
WO-2019144977-A3,Alibaba Group Holding Limited,20/05/2019,WO,Alibaba Group Holding Limited
WO-2019137563-A3,Alibaba Group Holding Limited,26/04/2019,WO,Alibaba Group Holding Limited
SG-11201909630T-A,Alibaba Group Holding Ltd,26/04/2019,SG,
WO-2021052769-A1,"International Business Machines Corporation, Ibm United Kingdom Limited",17/09/2019,WO,International Business Machines Corporation
EP-4042631-A1,International Business Machines Corporation,17/09/2019,EP,International Business Machines Corporation
TW-202119328-A,"Mainland Shang Alipay (Hangzhou) Information Technology Co., Ltd.",07/11/2019,TW,Alipay (Hangzhou) Information Technology
WO-2021244568-A1,"Alipay (Hangzhou) Information Technology Co., Ltd.",05/06/2020,WO,Alipay (Hangzhou) Information Technology
WO-2020154154-A1,Alibaba Group Holding Limited,22/01/2019,WO,Alibaba Group Holding Limited
CA-3041158-A1,"Alibaba Group Holding Limited, Dong Pan, Xiaorui QIAO, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",07/11/2018,CA,Advanced New Technologies Co
WO-2020233630-A1,"Innovation Advanced Technology Co., Ltd.",20/05/2019,WO,
WO-2020233625-A1,"Innovation Advanced Technology Co., Ltd.",20/05/2019,WO,
WO-2020098834-A2,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/02/2020,WO,Alipay (Hangzhou) Information Technology
WO-2020098834-A9,"Alipay (Hangzhou) Information Technology Co., Ltd.",03/02/2020,WO,Alipay (Hangzhou) Information Technology
KR-20200141502-A,Enchain Holdings Limited,13/04/2018,KR,nChain Holdings Limited
JP-2021520732-A,"Nchain Holdings Limited NCHAIN ??€?OLDINGS Limited, Nuchan Holdings Limited",13/04/2018,JP,nChain Holdings Limited
