id,priority_date,cite_number,assignee
US-11556906-B2,14/11/2016,24,International Business Machines Corporation
US-10833864-B2,13/04/2018,31,International Business Machines Corporation
US-10826695-B2,07/06/2017,24,"At&T Intellectual Property I, L.P."
US-11538031-B2,31/03/2017,50,Vijay Madisetti
US-2023222188-A1,09/07/2018,31,Dish Network L.L.C.
US-2020310917-A1,26/03/2019,62,Acronis International Gmbh
US-2021359841-A1,19/08/2016,33,"Advanced New Technologies Co., Ltd."
US-2020257775-A1,13/05/2016,64,nChain Holdings Limited
US-2020302523-A1,06/05/2018,139,"Strong Force TX Portfolio 2018, LLC"
US-2020226630-A1,15/06/2016,44,"Rob Balfour, Greg Bandler"
US-2021092060-A1,16/10/2018,36,"Eluvio, Inc."
US-2021092059-A1,16/10/2018,36,"Eluvio, Inc."
US-2021192346-A1,07/05/2019,34,"LedgerDomain, LLC"
US-2021194701-A1,03/11/2016,33,Visa International Service Association
US-2020195444-A1,13/12/2018,44,Alibaba Group Holding Limited
US-2020145223-A1,02/07/2019,61,Alibaba Group Holding Limited
US-2021006400-A1,19/03/2018,35,"Huawei Technologies Co., Ltd."
US-2021314147-A1,28/08/2017,32,"Advanced New Technologies Co., Ltd."
US-2020145196-A1,02/07/2019,52,Alibaba Group Holding Limited
US-2020204524-A1,08/06/2018,42,"Gcp Ip Holdings I, Llc"
US-2020250320-A1,07/11/2018,48,Alibaba Group Holding Limited
US-11063767-B2,15/11/2016,84,Fujitsu Limited
US-10805089-B1,27/03/2019,23,Alibaba Group Holding Limited
US-2020136806-A1,26/07/2017,57,Alibaba Group Holding Limited
US-2020129694-A1,24/08/2017,56,Alibaba Group Holding Limited
US-10754989-B2,27/03/2018,30,International Business Machines Corporation
US-10567168-B2,16/11/2017,41,International Business Machines Corporation
US-2020110740-A1,29/09/2017,195,Oracle International Corporation
US-2021099285-A1,19/08/2016,33,"Advanced New Technologies Co., Ltd."
US-2020111180-A1,06/05/2018,100,"Strong Force TX Portfolio 2018, LLC"
US-2020097733-A1,01/06/2017,63,"Unveiled Labs, Inc."
US-2020160290-A1,29/04/2016,42,"Digital Asset Holdings, LLC"
US-2020090156-A1,06/05/2018,100,"Strong Force TX Portfolio 2018, LLC"
US-2020104955-A1,06/05/2018,100,"Strong Force TX Portfolio 2018, LLC"
US-2020097639-A1,06/05/2018,100,"Strong Force TX Portfolio 2018, LLC"
US-2020111065-A1,06/05/2018,100,"Strong Force TX Portfolio 2018, LLC"
US-2022027344-A1,27/07/2018,40,Oracle International Corporation
US-2020159206-A1,07/05/2018,131,"Strong Force Iot Portfolio 2016, Llc"
US-2021396837-A1,05/01/2015,31,"Locatorx, Inc."
US-10826682-B2,03/07/2018,27,"Servicenow, Inc."
US-2020145204-A1,16/11/2017,41,International Business Machines Corporation
US-2020089690-A1,26/07/2017,45,Alibaba Group Holding Limited
US-2021044545-A1,16/10/2018,36,"Eluvio, Inc."
US-2020344060-A1,16/10/2018,36,"Eluvio, Inc."
US-2021119918-A1,16/10/2018,36,"Eluvio, Inc."
US-2021149696-A1,16/10/2018,36,"Eluvio, Inc."
US-2021014150-A1,16/10/2018,36,"Eluvio, Inc."
US-2021112117-A1,16/10/2018,36,"Eluvio, Inc."
US-9959065-B2,23/05/2016,234,"Accenture Global Solutions Limited, GSC Secrypt, LLC"
US-2023120742-A1,04/10/2017,29,Jintai Ding
US-2021049596-A1,01/08/2018,33,Tencent Technology (Shenzhen) Company Limited
US-2020050786-A1,29/05/2018,48,Alibaba Group Holding Limited
US-2020057870-A1,04/06/2018,45,"Capital One Services, Llc"
US-2021021409-A1,28/08/2017,32,"Advanced New Technologies Co., Ltd."
US-10749684-B2,30/09/2016,53,"Entrust, Inc."
US-2021297255-A1,06/12/2018,40,Shandong University
US-2021150003-A1,09/07/2018,31,Dish Network L.L.C.
US-2021119801-A1,03/07/2018,31,Naver Corporation
US-11212665-B2,04/10/2016,68,Nec Corporation
US-2020045051-A1,26/07/2017,43,International Business Machines Corporation
US-2020195625-A1,13/12/2018,35,Alibaba Group Holding Limited
US-2021248260-A1,15/09/2017,30,"Identify3D, Inc."
US-2020112545-A1,08/12/2017,41,"Symbiont.Io, Inc."
US-2022046085-A1,26/12/2017,29,"Akamai Technologies, Inc."
US-10735203-B2,09/10/2017,38,"Cisco Technology, Inc."
US-2020005284-A1,01/07/2018,128,Madhu Vijayan
US-2019327094-A1,14/07/2017,57,"Zhongan Information Technology Service Co., Ltd."
US-2021281397-A1,26/12/2017,29,"Akamai Technologies, Inc."
US-2020142864-A1,16/12/2016,34,International Business Machines Corporation
US-11227675-B2,23/08/2016,175,BBM Health LLC
US-2020313897-A1,28/03/2019,48,Ebay Inc.
US-11606190-B2,26/12/2017,25,"Akamai Technologies, Inc."
US-2019312875-A1,24/02/2017,66,Verizon Patent And Licensing Inc.
US-11055419-B2,01/12/2017,24,Alan Health and Science
US-2020133955-A1,31/10/2018,35,"Salesforce.Com, Inc."
US-2020120023-A1,16/10/2018,36,"Eluvio, Inc."
US-10819684-B2,24/11/2017,32,International Business Machines Corporation
US-2019372987-A1,21/12/2016,39,International Business Machines Corporation
US-2021004858-A1,29/11/2016,30,Mastercard International Incorporated
US-10938571-B2,26/10/2016,34,Acronis International Gmbh
US-2019296920-A1,05/01/2016,146,"Coinplug, Inc."
US-2019294514-A1,10/03/2017,45,Alibaba Group Holding Limited
US-2019370486-A1,29/05/2018,48,Alibaba Group Holding Limited
US-2020136811-A1,19/08/2016,33,Alibaba Group Holding Limited
US-2019379642-A1,08/06/2018,42,"Gcp Ip Holdings I, Llc"
US-10607032-B2,25/04/2018,23,Blockchain Asics Llc
US-2019280879-A1,13/12/2018,44,Alibaba Group Holding Limited
US-2019278666-A1,13/12/2018,44,Alibaba Group Holding Limited
US-2020160198-A1,19/11/2018,33,"TRIPP, Inc."
US-2019306176-A1,17/10/2016,162,Arm Limited
US-10685323-B2,23/03/2017,30,International Business Machines Corporation
US-2019251270-A1,07/11/2018,48,Alibaba Group Holding Limited
US-2020127817-A1,28/08/2017,32,Alibaba Group Holding Limited
US-2023004964-A1,23/02/2016,27,nChain Holdings Limited
US-2016267605-A1,13/03/2015,33,"Gyft, Inc."
US-2021203509-A1,12/09/2019,28,Tencent Technology (Shenzhen) Company Limited
US-11347769-B2,18/05/2018,21,"Inveniam Capital Partners, Inc."
US-2019245694-A1,04/04/2017,43,International Business Machines Corporation
US-2019319861-A1,13/04/2018,44,The Curators Of The University Of Missouri
US-2019373472-A1,14/03/2018,78,Clyde Clinton Smith
US-2019230179-A1,26/12/2017,45,"Akamai Technologies, Inc."
US-10476879-B2,26/07/2017,43,International Business Machines Corporation
US-2019391972-A1,22/06/2018,36,Attestiv Inc.
US-11303457-B2,21/04/2016,21,"Protoblock, Inc."
US-2020013027-A1,06/07/2018,34,"Decentralized Finance Labs, Inc."
US-2021272140-A1,05/06/2015,27,Peertracks Inc.
US-2020074853-A1,27/08/2018,32,Labyrinth Research Llc
US-2019158475-A1,23/05/2016,234,Accenture Global Solutions Limited
US-2020252450-A1,26/12/2017,29,"Akamai Technologies, Inc."
US-2019288993-A1,13/12/2018,35,Alibaba Group Holding Limited
US-2019140822-A1,30/12/2016,76,"Cloudminds (Shenzhen) Robotics Systems Co., Ltd."
US-2021073212-A1,17/01/2018,48,Geeq Corporation
US-2020034353-A1,27/07/2018,42,Oracle International Corporation
US-2019166132-A1,21/12/2016,39,International Business Machines Corporation
US-9870508-B1,01/06/2017,64,"Unveiled Labs, Inc."
US-11416931-B2,16/03/2018,22,Salt Blockchain Inc.
US-11658804-B2,27/02/2018,20,"Mydream Interactive, Inc."
US-2020051008-A1,23/03/2017,30,International Business Machines Corporation
US-11251956-B2,02/07/2018,24,Avaya Inc.
US-2022005057-A1,06/03/2012,26,Richard Postrel
US-10447770-B2,30/05/2017,44,Verizon Patent And Licensing Inc.
US-2023239135-A1,26/12/2017,25,"Akamai Technologies, Inc."
US-10498808-B2,28/03/2018,25,Bank Of America Corporation
US-2021167972-A1,09/01/2019,26,Tencent Technology (Shenzhen) Company Limited
US-10848322-B2,24/03/2017,25,"Cable Television Laboratories, Inc"
US-11294991-B2,13/05/2016,64,nChain Holdings Limited
US-10579779-B2,13/05/2016,64,nChain Holdings Limited
US-2021044642-A1,31/07/2019,26,"Theta Labs, Inc."
US-2019260591-A1,26/10/2016,31,International Business Machines Corporation
US-2019182033-A1,19/08/2016,33,Alibaba Group Holding Limited
US-10541806-B2,13/07/2017,32,International Business Machines Corporation
US-2021350028-A1,27/03/2019,25,"Advanced New Technologies Co., Ltd."
US-11657039-B2,19/08/2019,20,DLT Global Inc.
US-11514440-B2,16/05/2016,81,"Coinplug, Inc."
US-10803451-B2,29/04/2016,42,"Digital Asset Holdings, LLC"
US-10649859-B2,13/12/2018,21,Alibaba Group Holding Limited
US-2020082126-A1,06/09/2018,29,"MadHive, Inc."
US-2023216852-A1,03/11/2017,24,Lenovo (Singapore) Pte. Ltd.
US-11494761-B2,06/11/2015,120,"Cable Television Laboratories, Inc."
US-2022414651-A1,25/07/2017,24,Bank Of America Corporation
US-2020226285-A1,23/08/2016,26,BBM Health LLC
US-10320566-B2,04/04/2017,43,International Business Machines Corporation
US-2022407725-A1,04/11/2019,26,"Jingdong Technology Information Technology Co., LTD"
US-2020311755-A1,06/03/2012,26,Richard Postrel
US-10579368-B2,10/03/2017,74,"Salesforce.Com, Inc."
US-2019294822-A1,26/03/2018,29,Commissariat A L'energie Atomique Et Aux Energies Alternatives
